"","baseMean","log2FoldChange (cortex over medulla)","lfcSE","stat","pvalue","padj"
"DDX11L1",12.9842918577,0.0707171564194736,0.47198208957243,0.149830169368368,0.880898606313415,0.93581437315483
"WASH7P",1132.10919473266,0.0182746924859088,0.237298477723391,0.0770114189573981,0.93861446093288,0.967886833980732
"MIR6859-3",124.965401044964,0.157233558803973,0.337758512485853,0.465520639722023,0.641558659851312,0.784470028095215
"MIR6859-2",124.965401044964,0.157233558803973,0.337758512485853,0.465520639722023,0.641558659851312,0.784470028095215
"MIR6859-1",124.965401044964,0.157233558803973,0.337758512485853,0.465520639722023,0.641558659851312,0.784470028095215
"MIR6859-4",124.965401044964,0.157233558803973,0.337758512485853,0.465520639722023,0.641558659851312,0.784470028095215
"MIR1302-2",3.27300760948893,-0.658066650709163,0.708456070539842,-0.928874319910502,0.352954222906859,0.545664720451347
"MIR1302-11",3.27300760948893,-0.658066650709163,0.708456070539842,-0.928874319910502,0.352954222906859,0.545664720451347
"MIR1302-9",3.27300760948893,-0.658066650709163,0.708456070539842,-0.928874319910502,0.352954222906859,0.545664720451347
"MIR1302-10",3.27300760948893,-0.658066650709163,0.708456070539842,-0.928874319910502,0.352954222906859,0.545664720451347
"FAM138A",12.2546854997127,1.88850547445191,0.536209967990116,3.5219514503444,0.000428382588117193,0.00299134489134616
"FAM138C",12.2546854997127,1.88850547445191,0.536209967990116,3.5219514503444,0.000428382588117193,0.00299134489134616
"FAM138F",12.2546854997127,1.88850547445191,0.536209967990116,3.5219514503444,0.000428382588117193,0.00299134489134616
"LOC729737",95.1173025643632,0.182127656256019,0.454201866239855,0.400983945230734,0.688431944197233,0.81719043348382
"FAM138D",7.98914458697182,1.41450795705806,0.657654391965615,2.15083784787073,0.0314890006097792,0.0971870479097537
"OR4F29",49.4422935392645,-0.527324669684684,0.345000188572804,-1.52847646798722,0.126394281793298,0.270357885549143
"OR4F3",49.4422935392645,-0.527324669684684,0.345000188572804,-1.52847646798722,0.126394281793298,0.270357885549143
"OR4F16",49.4422935392645,-0.527324669684684,0.345000188572804,-1.52847646798722,0.126394281793298,0.270357885549143
"LOC100132287",359.455512142059,0.447829812108661,0.255613377780794,1.75198112085004,0.0797770542691568,0.194452224896065
"LOC100132062",359.455512142059,0.447829812108661,0.255613377780794,1.75198112085004,0.0797770542691568,0.194452224896065
"LOC101928626",3.83576728674578,-0.0996112758731291,0.69512118994767,-0.143300588895338,0.886052790761706,0.939187524434909
"LOC100133331",200.953638611626,0.515862078116551,0.261301533507069,1.97420226048002,0.0483587490810283,0.134823338602668
"LOC100288069",120.291798217908,-0.188236195458837,0.251962476238635,-0.747080272701231,0.455015107373999,0.639961542738847
"FAM87B",1.22929217925429,0.523161439844883,0.733915978798499,0.712835603744935,0.475947491226841,NA
"LINC00115",23.9717854631614,0.330367026392972,0.384991220462119,0.858115740915912,0.390828556279861,0.583441836837426
"LINC01128",251.376846608655,0.0261155938394004,0.19085285457247,0.136836275768063,0.891160209407869,0.94183994959214
"FAM41C",2.43935694086299,-0.622391215178878,0.694504278835673,-0.896166134818217,0.370164039638333,0.56333989981772
"LOC100130417",31.9781556559366,-0.13707246296905,0.384261029796004,-0.356717055179441,0.721303636258626,0.839612698290464
"SAMD11",104.971288968162,-0.0907937148402002,0.217673864623073,-0.417108939547796,0.676598726444688,0.809185787342956
"NOC2L",579.738705019271,0.3329104386059,0.147261525623739,2.26067492643328,0.0237793942283819,0.078449964446793
"KLHL17",68.0501189384653,-0.0801041434341981,0.247824560438801,-0.323229236409679,0.746521640823977,0.855940371689024
"PLEKHN1",5.15628266546478,0.151711426059227,0.595132280768107,0.254920512568097,0.798784492807025,0.887741551298143
