"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LTBP1",-3.5432,-0.4722,-16.7655342261947,3.88617188592185e-11,1.21605334326903e-07,15.8187103136327
"FABP1",5.08316,0.94202,16.682058637811,4.17380734538314e-11,1.21605334326903e-07,15.7521324328212
"RBP5",3.28846,0.80917,15.9352644869149,8.02339337428624e-11,1.21605334326903e-07,15.1393489700776
"PIP5K1B",4.16926,0.86597,15.8220805880463,8.87998803745905e-11,1.21605334326903e-07,15.0436984120217
"SLC7A7",3.9732,0.6796,15.495216556875,1.19463473500855e-10,1.21605334326903e-07,14.7632032179226
"ASS1",4.27512,0.63084,15.0962739329966,1.72894148919201e-10,1.21605334326903e-07,14.4120245605169
"ALPI",3.86438,0.61941,15.0532923306125,1.80011708517577e-10,1.21605334326903e-07,14.3735947329253
"SLC7A8",3.4375,0.70645,15.0442901301335,1.81541487540498e-10,1.21605334326903e-07,14.3655310068033
"HPD",5.21908,0.88206,14.9854378699936,1.91889050680581e-10,1.21605334326903e-07,14.3126867492346
"KHK",3.59066,0.78907,14.9751438037081,1.93762482993791e-10,1.21605334326903e-07,14.3034208121917
"MAPT",3.366,0.4338,14.4638086703401,3.1633324152558e-10,1.80482493074049e-07,13.8344593521955
"APBA1",3.64006,0.63417,14.1905919974207,4.13621758038883e-10,2.16324179454336e-07,13.5767019579778
"ASPDH",3.3254,0.3563,14.0430535551986,4.78966860186063e-10,2.31230462655979e-07,13.4353640097326
"SLC25A42",2.51762,0.26859,13.5182227225657,8.1602551604839e-10,3.65812581337121e-07,12.9199715641464
"PIPOX",3.30368,0.51376,13.3802151262492,9.41527365900231e-10,3.767738578142e-07,12.7810802584128
"ACSF2",3.73992,0.39984,13.3135032990107,1.0093980334698e-09,3.767738578142e-07,12.7134256878087
"CYP4F2",2.87778,0.53111,13.3029711796814,1.02057928343553e-09,3.767738578142e-07,12.7027137855918
"APOE",4.32306,0.36547,13.1111568169003,1.24896262715561e-09,4.18346432493598e-07,12.5061344407868
"AGMAT",3.8053,0.69775,13.0617661209666,1.31616015321852e-09,4.18346432493598e-07,12.4550550978992
"TNC",-2.9782,-0.2111,-13.0496930470776,1.33316262744932e-09,4.18346432493598e-07,12.4425402305141
"CRYAA",3.5343,0.70165,12.9526501805439,1.47859522524972e-09,4.41888744460346e-07,12.3415297721412
"LRP2",3.375,0.4457,12.8198743974111,1.70544066832905e-09,4.86515710656049e-07,12.2021147972034
"CYP4F3",3.84334,0.39733,12.7369255751669,1.8656800969298e-09,4.91352940590217e-07,12.1143002844537
"PRLR",3.59254,0.87133,12.7303841925734,1.87897874030676e-09,4.91352940590217e-07,12.1073515135471
"SCARA3",-3.47056,-0.32612,-12.6634112985488,2.02106754710151e-09,5.07368797024362e-07,12.0360073667787
"PLEC",2.38748,0.43326,12.5021006147689,2.41220860604705e-09,5.52179729169994e-07,11.8626573599673
"LDB3",2.50914,0.34023,12.4838633812068,2.46123773059757e-09,5.52179729169994e-07,11.8429234600233
"TINAG",2.7503,0.65625,12.481443506969,2.46782234388623e-09,5.52179729169994e-07,11.8403029122445
"PLG",3.26494,0.59273,12.4512748659078,2.55149970457773e-09,5.52179729169994e-07,11.8075914269303
"CLCN4",2.89996,0.68422,12.3918999930937,2.72510036238805e-09,5.7009099581158e-07,11.7429892985115
"TFPI2",-3.35036,0.10878,-12.3269974105282,2.92928543309835e-09,5.93038560584685e-07,11.6720330651421
"ALPL",2.39396,0.42842,12.2705067445912,3.12022481606453e-09,6.11954092050655e-07,11.6099825939157
"MME",2.44288,0.44056,12.1815043861694,3.44831254462861e-09,6.5580634939664e-07,11.5116673602845
"NPL",2.93866,0.38887,12.154685399101,3.55420159937081e-09,6.56063801107388e-07,11.4819085796648
"MOXD1",-2.58168,-0.04444,-12.0966997526535,3.79511071816239e-09,6.80517567633918e-07,11.417353992995
"SLC5A12",4.61798,0.85061,12.0667714222822,3.92617181593828e-09,6.84462619911907e-07,11.3839208855794
"SLC39A5",3.48852,0.50994,11.9636934965482,4.41554835802937e-09,7.4897247283763e-07,11.2681720406221
"AKR1B1",-4.17114,0.40883,-11.9247394231038,4.61697967768661e-09,7.62530643609504e-07,11.2241858865772
"SLC12A3",3.29778,0.63631,11.8969587154157,4.76657152466907e-09,7.67051356123669e-07,11.1927343263547
"DPYS",2.96122,0.52699,11.7062728989075,5.94265525607634e-09,8.96104376194005e-07,10.9749885283969
"HECW1",2.97042,0.53399,11.6916915364152,6.04444620319904e-09,8.96104376194005e-07,10.958202912658
"ANPEP",4.43648,0.85356,11.6848146686823,6.09309261698518e-09,8.96104376194005e-07,10.9502797648275
"DPEP1",3.84294,0.73193,11.6782863941169,6.13965713453509e-09,8.96104376194005e-07,10.9427542638077
